Comment Number,Comment Text
58,"Thank you very much, Kunal for being  the Voice for the voiceless, your extraordinary courage, fearlessness & patriotism!!"
59,Appreciate your bravery! Thank you for bringing back hope
60,Thanks. First time I have ever paid to any video over YouTube. Really enjoyed the his video!
61,Thank you for your bold voice and unwavering spirit. We need more people like you who fearlessly speak truth to power and challenge the status quo.
62,More power to you Kunal... I hope this would wake up people and bring in the awakening our country needs.
63,"Thanks, we need brave persons like you. Keep fighting for the nation. Stay safe."
64,Your work deserves all the support.
65,"It takes balls of steel to do what you do, Kunal. Thank you for standing up and speaking when everyone, including the media, is on their knees, licking until their tongues bleed."
66,"Thanks for speaking truth to power. Until we have your indomitable courage, we all live to fight another day!"
67,"Share this in 3 parts - 1 for you , 2 for Habitat venue and 3 for legal fees. Proud of your work."
68,"We are with you Kunal, you are bold and true. Truth has always been harassed by liars yet you are so fearless I wish we all get courage like you to fight against corrupt liars !!"
69,"Keep doing what you're doing, man. You are a brave soul. Respect. We need more people like you."
70,Thanks for never punching down! Hopefully one day the citizens of India will recognize the grit you have consistently shown through all these years.
71,"The country needs more people to stand and speak up against the monopoly of government and people sitting at higher positions ruling and controlling lives of normal citizens like we are nothing. I am so happy and satisfied after watching this video, love it!"
72,"This country needs humour, this country needs to chill, this country needs to say the truth out loud"
73,Everyone's being shut and bent.  It's not easy to fight a corrupt system. You stand and speak on behalf of so many of us who are voiceless and do not have enough courage to fight the injustice going on. May you carry on. Big respect
74,"Thanks Kunal for your courage! You speak for every one of us that is liberal, secular, and wishes for India’s development for all!"
75,"Salute & respect to what you do. You're one of a kind. Takes lots of guts to be able to speak the truth as it is, without sugar coating. Freedom of speech in it's true terms without any vulgarity. More power to you!!!
Last but not the least, can't appreciate all these people here in the comment section enough. For the first time have I seen such progressive people with greater acceptance. Hope to see more of such kinda people cause that's what the country needs to break out of an unknown, invisible, unsaid wheel of oppression."
76,"Thanks keep it going man 
More power to you
#Subscribed"
77,Country needs more people like you who criticize and appreciate the elected government based on their performance and fulfillment of their promises.
78,"Keep up the good work, brother. You are an inspiration to many and a force to reckon with."
79,Amazing! Thanks for doing this! Much needed in a world where people who're supposed to do this don't!
80,Thanks! Supporting a talented person with spine.
81,You have balls of steel and the courage to speak the truth. Freedom of speech and expression was long forgotten in this country and you have brought some hope and courage again through this special. Only and only respect for you brother.
82,"Hey Kunal, just wanted to
say that your courage and unwavering stand for truth are truly inspiring. In times when speaking up comes at a cost, your voice remains fearless. Keep doing what you do many of us stand with you! More power to you!"
83,"You're doing an awesome job Kunal! It takes so much guts to do what you do.. Keep making us laugh and for a change, let them cry for once..."
84,you've got balls ! and wit too. You're a modern day super patriot (maha deshbhakt) of India fighting for it's soul.
85,"Dear Kunal, Stay strong and keep fighting. You are our voice! Thank You! And YES, WE CONSENT TO COMEDY!"
86,"Sir, I admire your courage. I have the utmost respect for you. GOD BLESS INDIA AND ITS CONSTITUTION."
87,"I grew up watching your stand-up shows, first in Nepal and now here in the States. In these difficult times—when the downtrodden and oppressed seem abandoned by justice, and the world just seems to move on—it is incredibly inspiring to see you live with unwavering conscience, honesty, morality, and a steadfast commitment to truth, even as corrupt forces prevail. As one of my friends once said, when you are powerless, the smallest act of defiance is to keep your conscience alive and pass it on to future generations, nurturing the hope of ultimate freedom. Thank you, Kunal, for leading by example and reminding us that even in the darkest times, the light of truth can never be extinguished."
88,"Thanks a lot Kunal bhai for courage and showing mirror to power! Here’s a small support. And thanks for reminding us that democracy runs by constitution.

Satyamev Jayate! Jai Hind!!"
89,Keep Going..India need people like you
90,Our country needs people like you...Thank You!
91,"Brilliant set, wish I had seen it live! Thank you!"
92,Keep it up Kunal!
93,"First time I am supporting someone on YouTube, his jokes are far better than anyone else"
94,Thank you so much for standing up for common citizens like us and calling out some shameless politicians
95,This is the first time I've ever donated on a YT video but your sheer guts made me do it. I hope you're safe and continue doing the work you do!
96,"Dont worry, love to you "
97,"It takes huge courage to do all this  , not only not thinking about future in terms of career but also risking his life literally. Hatsofff!!!!"
98,Please continue this. Need more eye openers like you.
99,Unfortunately I could not buy tickets and watch it live. So paying my bit here. Thanks for the show and more power to you!
100,Thanks for reminding me and thousands of Indians what a true democracy should look like.
101,Thanks  Itni himmat dikhane ke liye Jo bade bade politician aur actor nhi kr pa rhe hain even businessman bhi kuchh nhi kr rhe hain.India ko badtar bna rhe hain .In sabse upar uthkar ye takat dikhane k liye thanks a lot 
