Comment Number,Comment Text
288,Thanks for the last song. lol. catchy max pro.
289,Thanks for the laughs ( and the activism)
290,Give this man a Z+ security
291,Thanks! For your bravery !
292,Thanks! to your courage.
293,Thanks Ham sabki taraf se awaj uthane ke liye
294,Lot of courage  amazing work someone has guts to speak !! TSeries is striking the video. Use screen recorder and download it.
295,Thanks Kunal for speaking on behalf of us all
296,"Thanks Kunal, You are doing a great job while keeping it factual at the same time casual "
297,Dil khuss ho gya bhai
298,This was the bravest act of the Indian Comedy Scene … they have already started coming for you. This act of yours is gonna bring a revolution in this country … mark my words!! Full power to you 
299,"Sachai dikhti toh sabko hai, kehte bahut kam log hain"
300,Fire 
301,How can he stand straight with such huge balls in todays India?
302,Dil se dhanyavad kunal bhai........... Hum hmesha sath hain aapke ️
303,"45 mins 41 seconds of pure elite standard satirical comedy. Laughed out  loud when listening on my headphones at night but became melancholic when the truth of the spoken words actually hit.  
The songs were the cherry on top of a marvellous cake. 
Thank you, Kunal Kamra from a amused yet sad Indian."
304,Thanks Kunal. You just shuffled the meanings of Anti-national and Patriotic
305,"कुणाल, तू ज्या निर्भयतेने बोलतोस त्याला तोड नाही. तुझ्याबद्दल आदर वाटतो."
306,44:00 so are we not talking about his singing skills  indeed that art is in danger now 
307,"Thanks, Awesome  welcome back "
308,More power to you
309,"When he said ""Corporate employee Corporate se jyada tax bharega."" I died a little."
310,Thanks you so much aap jaiso ki jaroorat hai is amrit kal mai.... Jo kuch bhi ho jaaye amrit kal bolke chupaya jata hai... Hindu rashtr mai.
311,"'Mann mein Nathuram, Harkatein Aasaram' was epic! "
312,Please keep doing your work
313,Too FUNNY BHAI
314,Keep criticising but stay safe. Apke studio repair ke liye mera chhota sa contribution.
315,"Thanks, keep bringing new stuff regularly "
316,"So much respect for you…. As a berozgaar I don’t have any money to support you.  But if someday I can do anything, I won’t stand back. Much much power to you."
317,For all the FIRs to come. My 2 cents.
318,It's great
319,️
320,"Thanks , Kunal Bhai aao na yaar Bombay, Malpoa khayege. Please "
321,"Thanks for aawaz ... Jo logo ki dabi huyi hai wo bhi khulegi abb , 
Be careful and avoid nagative comment..., you done very well bro "
322,Please keep up the fearless work!
323,"Yaaar .. the crowd was sad.. i was screaming, cackling and applauding at home!! Tooo good. "
324,Thank you kunal sir. 
325,"First in my lifetime I have seen  this  much contribution for a single show...hats off 
Badlao yehi se start ho raha hai..."
326,Thanks a lot bro...Apun sala jhukega nahi
327,"Itne paise logon ko dete hue nahi dekhe kabhi comment section,... Good support...nyc to see content getting appreciated"
328,"जब पत्रकार कॉमेडी करने लगे तब कॉमेडियन को पत्रकार बनना पड़ता है 
हिम्मत को सलाम"
329,"Kunal, your fearless take in ‘Naya Bharat’ is a salute to free speech! Holding the Constitution high with such courage—massive respect!"
330,Thank you for standing up for the ordinary Indian 🇮🇳🇮🇳
331,"Stand up comedy 
Stand up comedy + Reality + News reporting 
Loved it man!"
332,"It is not only the best comedy show  but also the best reality show, fantastic."
333,Thanks  Thanks
334,"""I don't believe in body shaming till you lose the elbow "" epic bhai epic "
335,"Great combo of intelligence , bravery and of course great sense of humor"
336,"Man !! As an editorial cartoonist from Nepal who gets bashed regularly on internet (and gets death threats too ), your stand up and resilience inspires me !!!!"
337,Revolution!!!!
338,I loved everything about this show especially the last part when you pull out a constitution. This dictatorship must stop!!
339,"Dunia bhar ki currency bhai ke comment box me kya baat h...
Keep doing bro for better India."
340,"After that much death threats 
You always make another stand , 
You Have our Respect Kamra 
Nobody in this country has fought this much ,
U are the real Og GOAT "
341,"भाई गजब की हिम्मत है, आपके पास अपने पूरे देश में तहलका मचा दिया।"
342,"Bro first sent the script of his entire act to his lawyer, got it approved and performed "
343,Bhagvan se nahi meme se toh darr  epicc !!!
344,you spoke for all of us
345,"As a gareeb I can't give you money 
But full support."
346,"Kya daring aadmi hai yaar. 
Kunal Kamra bro, you are wild fire "
347,'Ye koi chai hai ' was epic man salute 
348,"Thanks for rekindling the spirit of free speech and awakening a scared & clueless man who gave in to the normalcy of the pathetic state of affairs. I don’t know what to do to help, but I will at least start educating myself more and support people who make sense."
349,Only comedian who has guts to say something against powerful people
350,Life begins where fear ends  45:12
351,"Rap Songs of the Nation : 
1) The independent CBI and ED- 32:02
2) Maharashtra Maza : 34:25 
3) Khuda ki Khudai : 36:07
4) Kamyaab Bharat: 
5) Idol Mukhyamantri:  
6) Tanashah: 
 
Big up to KK️"
352,"He included Ambani, Anand Mahindra, Nirmala Sitharaman, the CEO of Ola, Sudha Murty and her husband, Modi, Yogi, Meloni, and Amit Shah, yet they got offended by the Deputy CM's ""gaddar"" remark. "
353,Bow down ️ tooo tooo goood best show of 2025
354,"Bro I wish to god, You always do comedy. Your comedy has great humor, a deep message, and inspiring a lot to me."
355,Love u from India 🇮🇳🇮🇳🇮🇳🇮🇳
356,"जल्दी से देख लेती हुं, पता नहीं इस लोकतांत्रिक देश में कब वीडियो हट जाए।"
357,Shinde n mujh tk ye video pahuncha di Thnx shinde
358,Agaya agaya Bhai Agaya
359,Life begins where fear ends -OSHO
360,44:40 To those andhbhakts who attacked the place
361,1100Thanks!
362,More power to you!
363,Bravo
364,"The work of many officers, lawyers, reporters and other responsible officials is done by you as a stand up comedian, Lots of respect and support to you. I hope others will understand this problem logically rather than disliking you in the name of hindutva and religion. "
365,I loved it it's so good
366,Its rare to find a comment without super thanks wow!
367,Never stop. You're a legend
368,"Broooo what a delivery, what a punchline, what a mind!  This is not just comedy — this is therapy, philosophy, and chaos wrapped in wit. Hats off, respect and lots of love!"
369,Dil se Support Kunal Bhai
370,"I didn't know about this guy before controversies but after hearing his brave reply to those gundas(can't call them politicians,can I),now I am here to support him,SORRY can't support u financially though because I am a student,but I am glad to support u through social media"
371,Thanks a lot for bringing this issue up ! The politicians have lot of potential to ruin our country
372,Thanks! bhai maja aya gaya hahahhaahahah
373,Kya aadmi hai yaar.... Inko kisi chiz ka daar hai he nahi..... Salam hai bhai.... Salute...very few person can afford it....
374,I’m watching you from Greece and I have to say this stand up comedy was the best stand up comedy show ever!
375,You are one of the bravest individual comedians India has ever produced. We need more like you in this society.
376,"Greatest man . I salute to your spirit, the way you speak up and addressed these issues and some scoundrels decided to silenced you as they have done always & always . I am a muslim woman and I feel proud of the way you spoke for us , the issue you addressed about Diwali, just few days ago During Holi people of some states showed their low mental status by trying to throw color at Mosques and played loud music during prayer time because they didn't wanted anyone to perform prayers peacefully . So this is the India we live in , in our own mother land we are treated as outsiders and everyday is like a struggle. I don't hate any religion but the increasing hate towards us makes me despise them . They taunts us as we claim we are peaceful community, Man do you have doubt about that , just look at the internet, you will see news of oppression toward us everywhere.  Even they passed a Waqf bill to take our land and properties.  I just hope someday they dont take  away the land of my Qabar . I truly believe I come from the Two India ."
377,"May freedom of speech never vanish from our beautiful Nation. Thanks a lot Kunal for fighting for freedom of speech. , "
378,Thanks! Keep doing your work
379,"As a Muslim ️ I stand proudly with my Hindu ️ brother kunal wholeheartedly...
#ISUPPORTKK"
380,"""Yeh koi chai hai b(#@*$"" - have been coming back every 2 hours to listen to this part and dying laughing every single time. Wish I had even half the courage you have dude. Many thanks for fighting the good fight for us."
381,Man you made me cry mujhe laga hi nahin tha ki koi Itna Sach kah Sakta Hai Is Desh Mein aaj ke time
382,Change won’t happen overnight.. I would love to see an India where freedom is actually felt.. one step at a time. Jai Hind !
383,"this was GENUINELY funny, i was never into stand-ups but after all this controversy, decided to check it out and i dont regret one bit. 
much power and support to you brother, stay safe"
384,Tu banega asli gunda.... Salute bhai salute... You are a great artist... Love from Kolkata....
385,Bro you are just too awesome. Nothing's wrong in what you've said. You've written all the songs after analysing the true situation. Hum tumhare saath hai kunal bhaii!!
386,"It is now or never that we as Indians stand by this quote at all costs- “I disapprove of what you say, but I will defend to the death your right to say it.” 
                     - Voltaire"
387,This is how the real comedy has to intelligently portrait and say about current political issues through that. We Indians support you and we need people like you to show us the path of freedom and free speech
388,"He has the talent to spread the truth in his comical manner , carry on sir  ..."
389,"Bhai you are amazing jo baat media, politicians,aur log nahi kar paye o comedy kardi  thanks for doing this, iam with you bro "
390,You Are best and bravest standup comedian i have ever seen.You have high level of intelligence and keen observing skills .God may bless you !
391,"At the end of your bravery... 
I see a glimpse of Osho"
392,"I went to become a Member and saw title ""Anti-National"" "
393,"THIS IS THE REAL , JOURNALISM HE IS DOING WHAT SHOULD NEWS CHANNELS DO IN A COMPLETELY DIFFERENT WAY. HE IS THE INDIA’S MODERN FREEDOM FIGHTER .FEARLESS "
394,no words to describe!!!!! simply awesome......
395,Huge respect for you kunal bhai. Love you brother and your sense of humour. I support you in any aspect. Long live king kunal. Waiting for your next video to entertain everyone.
396,"I hope for your safety, and no not in a bad way! we really love you and want more people like you to make a difference. Let's together change Bharat!"
397,A man told the truth without any fear of anyone that to in a stand-up comedy. Grt bro loved and enjoyed every second of Naya Bharat episode.
398,"Comedy kranti  
Love  your words and work "
399,"You are the best. Amazing comedy and fearless comedy. More power to you Kunal. 
Tired of the lies and hatred that this Government is continuously spewing. 
Good one. Keep it going."
400,One man fighting the whole government ...Stay strong Bhai..
401,"Chat 
donation centre "
402,Thank you kunal for speaking and protecting our country. Our country need people like you.
403,super cool!!!!! the best piece of satire i've ever seen! this is what true freedom of speech looks like. hats off to the music!
404,वह कामरा सर ।सच्चाई बोलने वाला हो तो ऐसा जिगरा वाला मर्द होना चाहिए।
405,This is historic ... should be saved ! Lots of power  we need your voice! stay safe n strong 
406,"Freedom of speech jindabaad
Kunal kanggggra jindabad
Thanks!"
407,I have checked each and every superchat and was only able to count till 4 Lakhs INR has been sent inthis video via superchat and citizens great work 
408,This is what we need.  Nailed it  We need more such content.
409,"Munawar ko jail bhejke govt ne sabse wrong example set kia 
Abb iske piche pade hai
More power to you "
410,"यही है,  बात से पैसों की वर्षा करना । "
411,From this man our media should Learn
412,Yrr bhai apke jese insaan chahiye desh ko️
413,"Buddy, I have always enjoyed ur satirical comedy. I must say you have the guts in this spineless democracy. You are like a modern freedom fighter. Hats off to you.

By the way, uninstalled BookMyShow. Thats the least I could do for you..

Hoping you get out of this mess safe and sound and emerge as a Hero to the millions who are afraid to Stand Up in today's Bharat..."
414,Love from Assam 
415,Very nice and informative Kunal. I wish this reaches many more.
416,You are great... Because sach bolne ki himmat is bande me he wo kisi me nahi.....
417,"Sach me Bhai tumne himmat dikhai hai.. 
Bilkul pichhe mt hatna Bhai ham tumhare sath hai.."
418,"Awesome... I enjoyed it full of entertainment and TRUTH... 
We support you for this content."
419,Really bro you are the great inspiration to our country.. We really need great people like You. Love u Kunal bhai... May God Bless you
420,Brilliant set Kunal! Don't ever shut up!! 
421,Loved it man. No-one can put out this humour so openly ️
422,"Corporate employee corporate se zyada tax bhar rha hai. Damn, that hit hard"
423,"SO happy to see the support in these comments. FREE SPEECH IS  RIGHT! EVEN AGAINST THE GOVERNMENT. IT IS NOT ANTI INDIA TO MOCK THE GOVERNMENT. AND WHO CARES IF IT'S ANTI INDIA? YOU CAN STILL SAY IT, IT. IS. YOUR. RIGHT. TO. FREE. SPEECH."
424,"Voice of  true patriotic like us ,keep up the good work kamra....your playing the role of opposition  too in our country"
425,I have only word for this.....#EPIC
426,"चारों तरफ मेरे ही चमचे 
Was epic "
427,Jungle de diya was epic  mined blowing
428,"Ohhh man
You are next level.....
I really like this kind of comedy. Look it indicates the sufferings and problems of common man too but you laugh loud"
429,"Hats off to your guts
It was mind blowing how you tore whole bjp "
430,"Thank you  speak for us and our country, apke zazbe aur himmat ko salaam ,we All with you .
Don't stop 
इंकलाब जिन्दाबाद "
431,Best current topics presented in a comic way. Keep up your good works.
432,Maza aha gaya.. awesome...even there is no word as awesomemest...it was awesomest
433,"love your spirit, love from BANGLADESH"
434,Thanks for Helping the country man 
435,"Majaak majaak mai sach boldiya toh logon ko mirchi lag gayi.... Don't stop what you are doing, we need more people like you to state the truth as is. The aftermath of this video is just plain despotism. More power to you "
436,This is too good. More power to you Kunal Kamra. We need more stand up like this 
437,"Bhai i have no words, you’re just awesome, just awesomeee!"
438,"love your spirit, love from BANGLADESH bro"
439,सबसे पहले मैं आपको अभिनंदन करता हूं आपके इस कॉमेडी में जो राज सत्ता पर व्यंग किया है उसका 100 प्रतिशत समर्थन करता हूं मुझे लगता है कि इस सदी में भी आपको भारत ने शहीदे आज़म भगत सिंह के वारिस के रूप में देखता हूं क्योंकि जो फांसी वाली निजाम है तानाशाह निजाम है इस भारतवर्ष में जहां बोलने की आजादी छीन ली गई है वहां आप जैसे लोग सत्ता से सीधा संवाद कर रहे हैं कबीले तारीफ है वैसे तो मैं कम पढ़ा लिखा हूं केवल हिंदी जानता हूं मैं बिहार से हूं बिहार का इतिहास रहा है यहां अनेक क्रांतिवीर पैदा हुए हैं आज भी थाउजेंड्स एंड हंड्रेड में है सत्ता से सीधा टकरा रहे हैं संविधान की रक्षा के लिए देश की आत्मसम्मान के लिए आपके विचार को मैं समर्थन करते हुए निर्भीकता से यह कह रहा हूं मैं भी आपके विचार में शामिल हूं
440,"This is what all comedians should do
to aware youth  we support you sir"
441,You should be in parliament sir....huge respect 
442,Love you bhai the way you stand for nation hats off
443,A 45 min lament indeed. You’re brave Mr Kamra!
444,Maine abhi tak 10 bar dekha hu ye Show phir bhi man nahi bharta master peice hai yaar yeto
445,"Kudos to your spirit and bravery, very very inspired"
446,"To understand the depth of his jokes you need IQ over 95...
While India’s average IQ is 77...
Or this video would've watched a billion times...."
447,This was the best youtube video I watched in a long time.
448,#BOYCOTT_BOOK_MY_SHOW I suport Kunal Kamra and free speech.
449,brooo hats off now we will not fear to any politician bro....darkar jiyenge to kya jiyenge....usse acha sach se samna krke jan de denge lekin zooti jindgi abb nhi jiya jata
450,Last quote gave me goose bums 🫡
451,Keep it up sir.. Outstanding 
452,Aajkal jo saach bolte hai usko ruti nhii milti par sir apki himmat par daat dena hoga...ishe lagtha hai desh mai abhi bii aache lug hai par uski baat godi Media mai bilkul nhii aayegii 🫡...
453,"Good job sir 
No Gobarbhakts and BJP whatsapp university was harmed in this video."
454,With All due Respect I am in Support with you and Your Talent of make a Joke ….#Right to Joke
455,"Controversy made me come here but he is actually funny, bravo
Keep fighting"
456,Thanks man stay strong ur a real figher
457,Love this ... awesome 
458,13 days 13 million views...
459,"In a time of deceit, telling the truth is a revolutionary act - George Orwell. 
More power to Kunal Kamra ️‍️️"
460,The country need people like you . Change is needed.
461,Dude singlely handed whole india lies 🇮🇳 commendable work love ️ from Australia 🇦🇺 43:30
462,Kamara nice speech sir thanks and Good information
463,Last song was osm bro 
464,You are doing great job sir 
465,Bro u r The Revolution!
466,How to put tanasha on spotify
467,"Dude, wat guts and courage..salute and Thanks for this brilliant stand up!"
468,Great...Salute brother
469,Bro single handlely summed up all the problems in the country
470,Bro speaking truth in comedy songs too 
471,You can see how much he loves umar️‍by his last cover photo️. Damn brooo. May ALLAH keep you guys safe️
472,Im from Pakistan and this was hilarious and epic This is what comedy is.
473,Bro have more guts than indian government hats off to you 
474,"You are awesome, man...more power to you."
475,This is what we called talent hat's off to you sir
476,"Im saddened to core after this , where are we even heading ,"
477,"Outstanding song ....
Keep it up....we all with you sir.....️"
478,"Isey kehete hai asli deshbhakt..
Himmat hai bande mein
Aaj aisey bahot sare logi ki zarurat hai

Jo na  thake.."
479,Finally u aired a podcast with 1.3 crores of views.
480,Aap ka himaat ki koi keemat nahi aap Big boss baan Gaya ho
481,Commendable  God Bless You Bro.Stay Strong!
482,I just got called to the local police station for watching this on YouTube 
483,Comment section to paiso se bhara pada hai 
484,महात्मा गांधी ने कहा था अपराध सहना अपराध करने से भी बड़ा अपराध है।
485,Bhai u ppl are inspiration ! For speaking up the truth against a corrupt PM HM CM DCM etc
486," कुणाल भाई तेरा न्यूज चॅनेल चाहिए.


रोज देखुंगा न्यूज"
487,The wind is changing.
488,"Hahahahahaha kya ironicccc! The departing statement made by him hit so hardd…. Specially after what happened at habitat,Rip india"
489,Salute to your bravery 🫡🫡️️
490,Fantastic. Truth should come in limelight... You have got steel balls ..
491,Watching comments and seeing how people are giving money to kunal kamra shows that still many people in India value the truths and support to truth speakers 
492,Full support to you Kunal Kamra bhaii
493,Sir paysaa to dene ke liye hain nahi.... Lekin support pura hai sirrr.... Aise hi to kuch log chaiye India mein... Jai hind
494,Wow so fearless and each serious topic said so well amazing too good
495,"Hats off to your courage 
May supreme powers be with you"
496,Great Kunal  keep it up this country need people like you 
497,Man khush kar diya bhai apne to keya bola he gahab
498,"Myy biggest salute to you kunal sir u are doind an absolute amazing job. I wish I could support you in some way..
Hats off to you sir "
499,Har kaam desh ke naam. Thank you everyone for financially supporting this real desh ke laal who got his life in danger  for us.
500,Ye tanashahi na jaane kab khatam hogi 
501,Legend of the century @kunalkamra 
502,Ap m to himmat h sach bolne k right sir️
503,17:27 he's smile is more epic than the joke itself 
504,Wow! what a amazing song and a finest humour to create this type of stand up comedy and last Well done Kunal kamra
505,"what u said is right,,,,country needs opposition leaders like u"
506,"The songs are tragic, despite the fact that they bring out laughter when someone hears them for the first time."
507,"Bro changed the entire meaning of ""stand up“ "
508,Kunal bhai love from Jammu and Kashmir 
509,Really great reality expressed by this comedy 
510,Yeahhhhhhhhh you rockkkkked broooo
511,That constitution book  was a cooldd thing to do (respect)🫡
512,Jitna paisa yt se nahi aa raha utna superchat se aa raha hai
513,The fact that there is not a single negative comment in the comments section says a lot about how even you don't believe in freedom of speech. What an irony!
514,I really did not felt like lauging for even once but i loved it.....
515,Let's boycott BookMyShow
516,Ooooo bhaaaiiii ..it was fev performance 
517,"Kunal kamra : Tamilnadu Mai aaja 
Andhbakt : Tamilnadu Mai Kaisa pochega Bhai "
518,Brilliant bhai...
519,"More and more power to you bro, we all are with you man ️️️"
520,Really disclosed everything in few songs  legendary performance
521,I'm Big fan brother don't stop freedom speech
522,Jitna donation mila ye itna profit kamane ke liya ola ko aur 10 year lagenge
523,"My name is Yohan, and I thank all of the live audience"
524,Voice
525,"I request all the members to uninstall BookMyShow, kunal sir ko unhone list se remove kr diyaa"
526,Purchased a new phone to increase one like for kunal
527,"Bro, you are a hero!! Thanks for opening our eyes up in this blinded world. 39:24 is my favourite."
528,"Fearless you are amazing kunal huge fan of yours, keep going"
529,I support  u
530,"I may differ in some points, though overall YOU are SPITTING the TRUTH!    NICE COMEDY.."
531,Salute ️️
532,Keep going kamra u r true indian
533,Power of a common man
534,Sahi to bola bhai 
535, keep up the work bro
536,i want to buy your next show pass for the first time 
537,You should thank dr babe saheb ambedkar for this powerful tool the constitution 
538,Last ka song sun ke maza hi aa gya 
539,Ambani's elder son killed people from his vehicle and nothing happened
540,Thank you bhai for such a truth telling video. Keep going we are with you.
541,"Wah kamra ji dil ki baat bole aap,aap ki himmat Allah aaur karo,aap is bulandi par pahuncho jahan jana chahte ho"
542,Unbelievable performance with fearless face you are the true indian
543,African logon ne maan liya kya ke unke purvaj sanatani hai 
544,Bhai jigra hai aapke under 
545,It is the best video on internet
546,"  ₹99,999.00  Y le bhai meri trf se"
547,So proud on Kunal sir 
548,We need more people like you 
549,Tumhari himmat ko salam hai bhai 
550,"Original Song     

1  sar jo tera chakraye ya dil dooba jaaye aaja pyare pass hamare    

2 bholi si surat aankhon mein masti dur khadi sharmae SRK movie song 

3 kahete hai isko hawa hawai Shreedevi movie song 

4 hum honge kaamyaab ek din Maan main hai vishvaash 

5 ek ladki ko dekha toh aisa laga

6 Badshah o Badshah SRK movie song"
551,Ekdum sahi kaha kamraji in humorous way  
552,You have guts. And this should be the future of India. Not some illiterate hooligans who only know to spread hatred.
553,Jio guru tusi kamal ho toufa kobul karo 
554,"Indian mann mein yehi baat soch hi rehe thhe, aapne unki baat ko excute kar diya, Salute man"
555,Dil ki baat boldi aapne
556,OUR NEXT PRIME MINISTER BY PUBLIC DEMAND AND NECESSITY.
557,Superb brother 
558,I feel bad for him....suffering on behalf of us
559,"""Tanashah ji tanashah - tanashah ji tanashah - tanashah ji tanashah - TANASHAH"""
560,बहुत हिम्मत चाहिए ऐसा सिंगर बनने के लिए 
561,even the mountains on the timeline are legendary
562,Bhai yeh comment section hai ya दान पात्र 
563,Good  kya roast karte ho bhai gjb
564,I am 15 and with you.
565,Tamil Nadu kaise pahunchega bhai
566,The songs are just Fabulous 
567,Salman tu idhar se aa ed tu udhar se aa cbi tu baaju  se aa bjp tu zameen khod kr neeche se aaa I AM GONNA RISE ABOVE ALL...LOTS AND LOTS OF LOVE AND BROTHER..... LET'S DO THIS 
568,Uninstalled BookMyShow 
569,Thankx Kunal 
570,Kash AISA koi comedian Pakistan me bhi hota end krdiya
571,Pehli baar dekhba aj freedom of speech ka jhalak hamare br ambedkar ji ke samvidhan mein kuch bhi kami nahi hai
572,Bhai love you respect respect
573,Great 
574,Great creativity
575,Freedom of speech is a constitutional right. This is the correct use of it.
576,Kamra ne pura ghar hila diya 
577,Truth of the country. Look at innovation we are very backward
578,Wht i believe u can say strongest person in my eyes ....kash mere bade bhai hote
579,Bazigar song bhot mst tha bhai
580,ভিডিওটা দেখে খুব মজা পেলাম অনেক সুন্দর হয়েছে।
581,"I thought kya hi aesa bola hoga ki iske piche sab log itna pade hue hain..! 
Then I realised ki isne kuch jaada hi sach bol diya.. wo bhi india me.. .. socho bhaiii india me koi khule aam itna sach kaise bol sakta hai.. ..!! Sabka piche padna to pakka hi thaa.. ! 🥹🫠"
582,After sooo long I watched this good comedy
583,Comedy pe ban...ab hogi singing p ban
584,Sare Indian milkar iss bande ko support karo
585,Most courageous person keep it up  we need you sir
586,"Wathed this 3 times, will I be jailed for this???"
587,I m gurati but wht u said was true
588,Desh ki jaanta aap ka saat hai kunal sir jukne ka nahi 
589,"Controversial take, but hate speech too should be protected under freedom of expression. Most developed countries have this arrangement."
590,I Concent to Comedy 
591,Raise your voice against Tanasahi everyone
592,Slap stick comedy 
593,Bhai aap bhot badhiya soch rakhte ho mja aagya bhai ️
594,such a goated comedian
595,"Ek bat samajhna chahta hu, "" meri nazar se tum dekho gaddar najar wo aaye"" jab sab k pass apani-apani Nazar hai to oop mukhyamantri k log Kamara k nazar se hi  keyo dekha?"
596,"7th April 2025 , 14 th View"
597,Excellent job sir ji
598,"Thaali bajwana ,diye jalwana thaali bajwana diye jalwana bas yahi hahahaha"
599,"Kunal Kamra is doing satire on powerful people of India & why not , this is the nation of Mahatma Gandhi"
600,Tuci Great o
601,Amazing standup comedy i ever seen ️
602,Excellent sir 
603,This is great Kunal. Not many have the balls to do that you just did 🫡
604,aura is lovely...how could one go against you...those who...they are truly that ...........................................
605,"Comment box 
Donation centre "
606, One of the best
607,Main state Government Rajasthan Student hu......but stilll I m educated 
608,I am a student so I can't superchat but hear so I could tell we need our youth to be like you.... Not like some blind bjp follower or elvish fan or any dumb guy who supports gangsters in name of Hinduism.....
609,Last Song Was So Real And So Good 
610,More powers to u buddy
611,Koi bhi desh perfect nhi hota wo hame banna padta h meri umr jayeda nahi h par 18 saal ki umr se fouz me hu  desh hit ks liye khada hu ye mera desh h ye apka desh h. aap awaz uthaw dharna do ye desh gandhi ka desh h or agar gandhi se kaam nhi chalta to ye bhi yaad rakhna ye bhagat singh ka bhi desh ham sath milke behtar bna skte h ye hamara desh h.
612,"12 Days 12 Million, Let's Reach 1 Billion Step By Step, Day By Day "
613,Good  job
614,Aur paise bhejte rahunga bhai bas aap atal rahna tutna mat
615,U did a great job by making a song of truth
616,Kunal sir jhukne ka nahi janta aap ka saat hai 
617,"Except his typical north Indian slang, he is an excellent speaker, who has deep insight. I wish I could have been as brave and witty like him."
618,"I was watching with my headphone on.

She asked what r u watching,  I told her comedy

She enquired again saying 'he'.

I again replied that current affair"
619,We support you
620,Thankyou sir very best stand up comedy hum janta ko samaj ne k liye
621,To Bombay me show kab a raha hai vai? Any schedule ?
622,please save the Indian constitution .. because you have right under that only.. whole video is great need brave thought like in this video..
623,As a educated indain we support you 
624,"Bhai aap ne jo kaha bahut himmat ka kaam kiya,,"
625,You are great sir
626,Full support. Keep going on.
627,16k people dislike thi masterpiece. Imagine
628,After kk i like another KK.
629,This iq level is next level
630,ONLY COURAGEOUS MAN IN INDIA
631,"Guys whatever you can please donate him. This video is not monetized and also he has to spend lakhs of rupees to fight with this cruel judiciary system. I have done my contribution, i request you'll to do whatever you can. "
632,I wish someone would criticize Imran Khan like this in Pakistan too. 
633,Kunal you are diamond of India. New Gandhi
634,fantastic work man.......
635,"Kunal Bhai tumne peeche se de kar muh se nikaal diya maza aa gaya come to BLR bhai ,eat se eat Baja denge"
636,"Coming to watch this after the Eknath Shinde non sense. My entire company is watching this the upcoming weekend - Roughly 250-odd employees PAN India.

Go Kunal Kamra "
637,kunal u have given a rite songs for opposite parliamentarians to entertain  ruling party man
638,Download kr liya bhai kya pata kab delete ho jaye
639,Awesome I loved it
640,Good job sir 
641,In short.. the subcontinent is going through same shit as they're in 1947.  Just separated by borders
642,Nice  are yarr
643,"Jago grahak jago
Desho ko tanashahi se bacha lo
Bjp ki mala japna band kr do.
Sawal uthana bjp ke against hona nhi hai aur agr hai toh ho jao againts.Aaj inke sath ho raha hai kal apke sath bhi ho sakta hai.And you will he helpless.
 
Don't let the blood shed by our Martyrs go in vain humble request 
 Me personally- "
644,Best best best best 
645,One of your best shows my man. Love from Aus.
646,Well done mate !
647,Mafi nahi magna brother 
648,Love you my bro... can you please tell story Bout young man struggling into this generation society.
649,The great Indian comedian 
650,"bro do comedy , dont speak truth,facts"
651,1 Video Ernings is 35.lacs + only comments
652,Very nice job sir ji
653,Good shot bhai
654,Hats of sir
655,Very good 
656,Love From Bangladesh 
657,Jitna bura isne dhoya hai kisin itna nahi dhoya hai aaj tak bjp ko 
658,"We protect, india deserve you "
659,Thanks for this
660,"Hey, Kunal .....salary aa gayi......1100....ka option nahi tha ...........1000 upi kiye...... Jindabad"
661,Cant wait to leave this country 
662,We are with you and we love you
663,Successor of Socrates and Plato in India
664,I support you boss
665,Atleast someone is there to talk about
666,Paisa hi paisa baras raha hai  aab log samjh daar honrahe hain
667,"Bhai tere jese bhai amar ho jate hai 
Mera bhai ise na dara paoge 
By choice aur dam se bola hai selute bhai jitna lkhun utna kam hai tere liye"
668,Nowadays comedy = Crime 
669,Ek no 
670,"Song me Dogla bole to TOTLA
 sunai diya"
671,Next level roasting
672,"in my opinion Dhruv Rathee, Kunal Kamra, Ravish Kumar, Aakash Banerjee, Arfa Khanum should contest election and see how much votes they get lol . just like their father is PM on Tw i t t e r, similarly they'll form government on youtube too"
673,Comedy ko fourth pillar ka tag de Dena chahiye 
674,Such a talent️
675,I respect you lot
676,Thats called freedom of speech
677,"I like it, you are so bold, Nanga krdiya "
678,Nice  sar
679,Man nhi bhar rha hai 3 or 4 times daikh chuka hu
680,Tanshah was Especial 
681,Real support really
682,hatts off man
683,Koi to hai jo sarkar ke sachhi kamon ke baare me bol Raha hai..
684,Keep up with the free speech... more power to you
685,What a performance!!!
686,বিপ্লব দীর্ঘজীবী হোক |
687,More power to u brother 
688,Bhai 
689,Wow. Incredible.
690,"Very good kunal kamra ji, good  voice in BJP TAnsha ke khilap bolna very good proudly fully , janta, satya ki aabaj se hoga aagaj tahnahasah murdabad....🇮🇳"
691,Salute
692,Bro this video ️‍ sare topics cover kare hai bhai ne... Kuch nahi hoga iska bhe... Bhoat pesa hai unn neta log ke pas...  Apan ghanta nahi kar sakte kuch
693,Godi media ko takleef toh hui hogi kyu sach sunke takleef hoti hi hai. We stand with kunal kamra 
694,i wish we have a few people like you in Pakistan too!
695,Right 
696,Respect bruhh 
697,Great job Sar
698,Bhai k andar bohot hi daring hai...keep it up bhai
699,You are doing amazing
700,Masterpiece
701,Kunal sir Desh ki janta aap ka saat hai jhukne ka nahi 
702,Man Gaye guru 
703,Education is very important for everyone to understand whats all politician do that with Indians
